head,tail
http://www.semanticweb.org/emilio/ontologies/2024/5/untitled-ontology-27#registro,Nab6e5c792a83457aa794bfb8f0bc57a0
http://www.semanticweb.org/emilio/ontologies/2024/5/untitled-ontology-27#metadatos,http://www.semanticweb.org/emilio/ontologies/2024/5/untitled-ontology-27#analisis
http://www.semanticweb.org/emilio/ontologies/2024/5/untitled-ontology-27#Esquema_de_clasificacion_descriptivo,http://www.semanticweb.org/emilio/ontologies/2024/5/untitled-ontology-27#analisis
